0,1,2
140,140,140
141,140,140
142,140,140
143,140,140
144,140,140
145,140,140
146,140,140
147,140,140
148,140,140
149,140,140
150,150,140
151,150,140
152,150,140
153,150,140
154,150,140
155,150,140
156,150,140
157,150,140
158,150,140
159,150,140
160,160,160
161,160,160
162,160,160
163,160,160
164,160,160
165,160,160
166,160,160
167,160,160
168,160,160
169,160,160
170,170,160
171,170,160
172,170,160
173,170,160
174,170,160
175,170,160
176,170,160
177,170,160
178,170,160
179,170,160
180,180,180
181,180,180
182,180,180
183,180,180
184,180,180
185,180,180
186,180,180
187,180,180
188,180,180
189,180,180
190,190,180
191,190,180
192,190,180
193,190,180
194,190,180
195,190,180
196,190,180
197,190,180
198,190,180
199,190,180
200,190,180
